invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_spent,year_month,age_group
I771180,C654036,Female,41,Souvenir,1,11.73,Debit Card,06/08/2021,Mall of Istanbul,11.73,2021-08,41-60
I966712,C181301,Female,69,Souvenir,3,35.19,Credit Card,04/04/2021,Mall of Istanbul,105.57,2021-04,60+
I285686,C810843,Male,41,Clothing,4,1200.32,Credit Card,04/02/2022,Kanyon,4801.28,2022-02,41-60
I186666,C680923,Female,32,Clothing,3,900.24,Credit Card,02/03/2022,Kanyon,2700.72,2022-03,26-40
I116614,C188084,Male,55,Clothing,1,300.08,Credit Card,03/10/2021,Mall of Istanbul,300.08,2021-10,41-60
I147737,C654510,Female,24,Technology,2,2100,Cash,01/11/2021,Metropol AVM,4200,2021-11,18-25
I167285,C357630,Female,40,Toys,4,143.36,Cash,10/02/2022,Kanyon,573.44,2022-02,26-40
I991674,C270281,Female,59,Clothing,1,300.08,Credit Card,06/02/2021,Metrocity,300.08,2021-02,41-60
I445705,C603935,Female,64,Cosmetics,4,162.64,Debit Card,01/06/2021,Mall of Istanbul,650.56,2021-06,60+
I314573,C408981,Male,30,Books,4,60.6,Debit Card,07/12/2022,Kanyon,242.4,2022-12,26-40
I261166,C882279,Female,60,Cosmetics,5,203.3,Credit Card,12/09/2022,Emaar Square Mall,1016.5,2022-09,41-60
I321841,C329993,Female,21,Clothing,5,1500.4,Credit Card,10/01/2022,Mall of Istanbul,7502,2022-01,18-25
I132734,C317372,Male,26,Cosmetics,2,81.32,Cash,02/11/2021,Istinye Park,162.64,2021-11,26-40
I133926,C576605,Female,26,Toys,2,71.68,Credit Card,12/03/2022,Istinye Park,143.36,2022-03,26-40
I196153,C207293,Female,31,Cosmetics,1,40.66,Cash,01/05/2022,Mall of Istanbul,40.66,2022-05,26-40
I245312,C329316,Female,37,Shoes,4,2400.68,Cash,02/08/2021,Metropol AVM,9602.72,2021-08,26-40
I301864,C171010,Female,27,Food & Beverage,3,15.69,Cash,06/05/2022,Metropol AVM,47.07,2022-05,26-40
I213283,C954778,Female,63,Cosmetics,2,81.32,Cash,01/11/2022,Kanyon,162.64,2022-11,60+
I249598,C247389,Male,37,Clothing,1,300.08,Credit Card,02/02/2022,Kanyon,300.08,2022-02,26-40
I304948,C293408,Male,22,Souvenir,2,23.46,Cash,03/03/2022,Metrocity,46.92,2022-03,18-25
I104399,C109975,Female,62,Clothing,2,600.16,Credit Card,08/11/2022,Viaport Outlet,1200.32,2022-11,60+
I280739,C317574,Male,22,Shoes,2,1200.34,Debit Card,04/05/2021,Mall of Istanbul,2400.68,2021-05,18-25
I115808,C554216,Male,51,Clothing,4,1200.32,Cash,08/03/2022,Kanyon,4801.28,2022-03,41-60
I291921,C621096,Female,20,Food & Beverage,1,5.23,Debit Card,01/07/2021,Kanyon,5.23,2021-07,18-25
I201201,C225839,Female,45,Cosmetics,5,203.3,Cash,09/11/2021,Mall of Istanbul,1016.5,2021-11,41-60
I112960,C145508,Male,27,Clothing,3,900.24,Cash,07/10/2022,Mall of Istanbul,2700.72,2022-10,26-40
I115757,C320089,Female,38,Clothing,5,1500.4,Cash,03/02/2022,Mall of Istanbul,7502,2022-02,26-40
I243146,C272279,Male,51,Clothing,1,300.08,Credit Card,01/04/2021,Metrocity,300.08,2021-04,41-60
I645260,C137357,Male,67,Souvenir,2,23.46,Debit Card,02/05/2022,Kanyon,46.92,2022-05,60+
I154954,C321701,Female,46,Clothing,1,300.08,Credit Card,09/10/2021,Istinye Park,300.08,2021-10,41-60
I226781,C234801,Male,47,Clothing,4,1200.32,Cash,11/03/2021,Metrocity,4801.28,2021-03,41-60
I127184,C296156,Female,25,Clothing,2,600.16,Debit Card,10/10/2022,Emaar Square Mall,1200.32,2022-10,18-25
I131587,C235250,Female,20,Cosmetics,2,81.32,Cash,10/02/2022,Emaar Square Mall,162.64,2022-02,18-25
I437134,C117866,Female,36,Toys,1,35.84,Credit Card,10/01/2021,Viaport Outlet,35.84,2021-01,26-40
I987661,C110843,Female,39,Cosmetics,3,121.98,Cash,11/05/2021,Mall of Istanbul,365.94,2021-05,26-40
I707730,C425792,Female,35,Cosmetics,1,40.66,Credit Card,03/01/2021,Istinye Park,40.66,2021-01,26-40
I328532,C923724,Female,41,Toys,3,107.52,Cash,09/10/2022,Metrocity,322.56,2022-10,41-60
I153578,C271336,Female,30,Clothing,4,1200.32,Credit Card,08/03/2022,Istinye Park,4801.28,2022-03,26-40
I258991,C405956,Male,51,Food & Beverage,4,20.92,Cash,07/09/2021,Zorlu Center,83.68,2021-09,41-60
I299354,C302047,Female,62,Technology,1,1050,Cash,11/06/2022,Mall of Istanbul,1050,2022-06,60+
I277947,C284013,Male,39,Books,3,45.45,Cash,09/06/2021,Metrocity,136.35,2021-06,26-40
I165959,C163069,Male,24,Clothing,2,600.16,Debit Card,07/05/2021,Metrocity,1200.32,2021-05,18-25
I315209,C330263,Female,40,Clothing,2,600.16,Debit Card,02/02/2023,Mall of Istanbul,1200.32,2023-02,26-40
I102737,C112982,Female,68,Technology,3,3150,Cash,08/09/2022,Mall of Istanbul,9450,2022-09,60+
I223993,C318751,Male,47,Cosmetics,4,162.64,Credit Card,02/04/2023,Istinye Park,650.56,2023-04,41-60
I235328,C931140,Female,35,Clothing,3,900.24,Credit Card,03/01/2022,Mall of Istanbul,2700.72,2022-01,26-40
I138254,C132596,Male,49,Toys,1,35.84,Cash,06/05/2021,Kanyon,35.84,2021-05,41-60
I456351,C186279,Female,69,Souvenir,3,35.19,Credit Card,01/05/2022,Emaar Square Mall,105.57,2022-05,60+
I125352,C207437,Female,51,Shoes,1,600.17,Debit Card,08/02/2022,Viaport Outlet,600.17,2022-02,41-60
I338359,C811414,Female,53,Food & Beverage,4,20.92,Credit Card,08/02/2022,Mall of Istanbul,83.68,2022-02,41-60
I237567,C136606,Female,28,Food & Beverage,2,10.46,Cash,01/05/2021,Metropol AVM,20.92,2021-05,26-40
I266017,C326365,Female,37,Cosmetics,1,40.66,Debit Card,06/07/2021,Viaport Outlet,40.66,2021-07,26-40
I653178,C176551,Female,27,Food & Beverage,5,26.15,Credit Card,01/09/2023,Kanyon,130.75,2023-09,26-40
I937305,C201061,Female,34,Technology,3,3150,Debit Card,11/01/2021,Metrocity,9450,2021-01,26-40
I687382,C412274,Male,32,Clothing,1,300.08,Debit Card,05/08/2022,Mall of Istanbul,300.08,2022-08,26-40
I652534,C243671,Male,19,Cosmetics,2,81.32,Credit Card,12/02/2021,Cevahir AVM,162.64,2021-02,18-25
I126431,C316193,Female,25,Cosmetics,4,162.64,Cash,05/09/2021,Mall of Istanbul,650.56,2021-09,18-25
I282257,C215300,Female,19,Souvenir,2,23.46,Credit Card,04/04/2021,Kanyon,46.92,2021-04,18-25
I226368,C117004,Male,27,Toys,4,143.36,Cash,01/02/2021,Cevahir AVM,573.44,2021-02,26-40
I171870,C111420,Female,39,Toys,3,107.52,Credit Card,08/01/2022,Istinye Park,322.56,2022-01,26-40
I300117,C968038,Female,60,Clothing,3,900.24,Debit Card,01/03/2023,Metrocity,2700.72,2023-03,41-60
I233773,C103006,Male,31,Books,3,45.45,Credit Card,09/04/2022,Kanyon,136.35,2022-04,26-40
I202846,C119189,Male,37,Books,3,45.45,Cash,06/08/2022,Mall of Istanbul,136.35,2022-08,26-40
I338421,C312533,Male,25,Toys,4,143.36,Credit Card,06/09/2022,Mall of Istanbul,573.44,2022-09,18-25
I337678,C924928,Female,36,Clothing,3,900.24,Credit Card,06/05/2022,Mall of Istanbul,2700.72,2022-05,26-40
I315422,C258243,Male,65,Souvenir,5,58.65,Debit Card,09/08/2021,Metrocity,293.25,2021-08,60+
I314713,C101327,Male,52,Shoes,4,2400.68,Debit Card,06/03/2022,Viaport Outlet,9602.72,2022-03,41-60
I324738,C480221,Female,24,Cosmetics,5,203.3,Cash,09/03/2022,Mall of Istanbul,1016.5,2022-03,18-25
I240626,C655483,Male,30,Shoes,5,3000.85,Credit Card,05/08/2022,Kanyon,15004.25,2022-08,26-40
I698377,C294193,Female,50,Food & Beverage,1,5.23,Debit Card,11/11/2022,Metrocity,5.23,2022-11,41-60
I260704,C110520,Female,23,Clothing,5,1500.4,Credit Card,03/02/2023,Metrocity,7502,2023-02,18-25
I155196,C415999,Male,64,Clothing,2,600.16,Cash,12/01/2021,Kanyon,1200.32,2021-01,60+
I320839,C686642,Male,18,Food & Beverage,3,15.69,Credit Card,05/03/2021,Zorlu Center,47.07,2021-03,18-25
I264369,C169649,Male,57,Toys,2,71.68,Cash,10/11/2021,Metrocity,143.36,2021-11,41-60
I277401,C251187,Female,27,Cosmetics,2,81.32,Credit Card,10/08/2021,Forum Istanbul,162.64,2021-08,26-40
I325747,C266148,Female,33,Clothing,5,1500.4,Credit Card,10/05/2022,Metrocity,7502,2022-05,26-40
I264685,C137343,Female,44,Technology,4,4200,Debit Card,11/05/2022,Kanyon,16800,2022-05,41-60
I273212,C640694,Female,42,Books,4,60.6,Credit Card,02/12/2023,Metropol AVM,242.4,2023-12,41-60
I167565,C759854,Female,38,Cosmetics,1,40.66,Cash,03/08/2023,Zorlu Center,40.66,2023-08,26-40
I689076,C792244,Male,35,Shoes,1,600.17,Cash,04/03/2022,Metrocity,600.17,2022-03,26-40
I136183,C423664,Female,59,Toys,5,179.2,Credit Card,09/06/2022,Mall of Istanbul,896,2022-06,41-60
I145987,C148432,Male,52,Clothing,4,1200.32,Credit Card,04/01/2022,Viaport Outlet,4801.28,2022-01,41-60
I705401,C138556,Female,66,Clothing,3,900.24,Cash,01/10/2022,Metropol AVM,2700.72,2022-10,60+
I187818,C240864,Female,55,Food & Beverage,2,10.46,Debit Card,07/03/2021,Viaport Outlet,20.92,2021-03,41-60
I289270,C627455,Male,50,Clothing,5,1500.4,Cash,02/09/2021,Viaport Outlet,7502,2021-09,41-60
I848407,C115269,Female,46,Clothing,1,300.08,Credit Card,04/05/2022,Metrocity,300.08,2022-05,41-60
I174999,C279856,Female,57,Cosmetics,5,203.3,Credit Card,03/10/2022,Metrocity,1016.5,2022-10,41-60
I610563,C196255,Female,24,Clothing,3,900.24,Credit Card,10/04/2021,Mall of Istanbul,2700.72,2021-04,18-25
I169264,C323685,Male,53,Shoes,3,1800.51,Debit Card,03/05/2022,Metropol AVM,5401.53,2022-05,41-60
I255149,C170261,Female,43,Food & Beverage,4,20.92,Credit Card,08/09/2022,Mall of Istanbul,83.68,2022-09,41-60
I175470,C209123,Male,69,Clothing,2,600.16,Debit Card,09/07/2021,Mall of Istanbul,1200.32,2021-07,60+
I287445,C297779,Male,55,Food & Beverage,4,20.92,Cash,07/06/2022,Metrocity,83.68,2022-06,41-60
I238586,C165924,Female,43,Clothing,1,300.08,Credit Card,10/10/2021,Emaar Square Mall,300.08,2021-10,41-60
I219827,C297819,Female,50,Clothing,3,900.24,Cash,08/05/2022,Metropol AVM,2700.72,2022-05,41-60
I176872,C161953,Male,55,Clothing,1,300.08,Credit Card,05/09/2021,Kanyon,300.08,2021-09,41-60
I302268,C281501,Female,64,Clothing,5,1500.4,Debit Card,11/03/2022,Forum Istanbul,7502,2022-03,60+
I189373,C225821,Female,66,Food & Beverage,3,15.69,Cash,03/02/2021,Istinye Park,47.07,2021-02,60+
I167926,C228581,Male,54,Clothing,2,600.16,Cash,01/02/2023,Mall of Istanbul,1200.32,2023-02,41-60
I141970,C296028,Female,45,Clothing,4,1200.32,Credit Card,01/07/2021,Metrocity,4801.28,2021-07,41-60
I137289,C161632,Female,27,Technology,3,3150,Cash,01/11/2022,Metrocity,9450,2022-11,26-40
I482762,C199461,Female,60,Technology,5,5250,Credit Card,11/10/2022,Mall of Istanbul,26250,2022-10,41-60
I968642,C239035,Male,36,Books,4,60.6,Debit Card,09/11/2022,Mall of Istanbul,242.4,2022-11,26-40
I413623,C820997,Male,49,Toys,2,71.68,Cash,03/04/2021,Metrocity,143.36,2021-04,41-60
I172007,C313026,Female,53,Technology,5,5250,Credit Card,01/06/2021,Istinye Park,26250,2021-06,41-60
I333293,C271142,Female,57,Cosmetics,5,203.3,Cash,07/09/2021,Metrocity,1016.5,2021-09,41-60
I201818,C155599,Female,42,Clothing,4,1200.32,Cash,03/02/2021,Mall of Istanbul,4801.28,2021-02,41-60
I179419,C192683,Female,19,Shoes,5,3000.85,Cash,04/05/2022,Istinye Park,15004.25,2022-05,18-25
I180472,C883222,Female,30,Souvenir,4,46.92,Credit Card,03/04/2023,Kanyon,187.68,2023-04,26-40
I113403,C120939,Male,18,Food & Beverage,1,5.23,Cash,12/05/2021,Istinye Park,5.23,2021-05,18-25
I254146,C145825,Male,56,Food & Beverage,2,10.46,Cash,03/05/2021,Metrocity,20.92,2021-05,41-60
I157847,C723406,Male,69,Technology,3,3150,Cash,06/07/2021,Metrocity,9450,2021-07,60+
I117284,C331703,Female,22,Cosmetics,1,40.66,Credit Card,10/03/2022,Metropol AVM,40.66,2022-03,18-25
I225904,C769958,Female,22,Shoes,5,3000.85,Credit Card,10/03/2021,Zorlu Center,15004.25,2021-03,18-25
I215654,C138372,Female,27,Clothing,5,1500.4,Cash,07/06/2022,Metrocity,7502,2022-06,26-40
I738948,C234173,Female,51,Souvenir,2,23.46,Cash,08/10/2021,Istinye Park,46.92,2021-10,41-60
I179430,C151575,Male,58,Books,3,45.45,Cash,06/06/2022,Zorlu Center,136.35,2022-06,41-60
I146590,C335643,Male,64,Cosmetics,3,121.98,Cash,11/05/2021,Mall of Istanbul,365.94,2021-05,60+
I177287,C234844,Male,39,Cosmetics,5,203.3,Credit Card,01/04/2021,Metropol AVM,1016.5,2021-04,26-40
I745019,C103726,Female,34,Food & Beverage,4,20.92,Debit Card,03/05/2022,Mall of Istanbul,83.68,2022-05,26-40
I292056,C353878,Female,69,Shoes,3,1800.51,Cash,01/01/2022,Istinye Park,5401.53,2022-01,60+
I184190,C111629,Female,36,Clothing,1,300.08,Cash,08/05/2021,Metropol AVM,300.08,2021-05,26-40
I784128,C189693,Female,58,Shoes,3,1800.51,Cash,07/09/2021,Kanyon,5401.53,2021-09,41-60
I603978,C225310,Female,40,Food & Beverage,3,15.69,Credit Card,02/09/2023,Kanyon,47.07,2023-09,26-40
I408969,C312663,Male,25,Books,4,60.6,Cash,08/04/2022,Forum Istanbul,242.4,2022-04,18-25
I108615,C217169,Female,33,Clothing,5,1500.4,Credit Card,02/07/2023,Istinye Park,7502,2023-07,26-40
I317507,C148223,Female,26,Clothing,3,900.24,Cash,09/02/2021,Forum Istanbul,2700.72,2021-02,26-40
I193229,C100349,Male,40,Clothing,5,1500.4,Cash,03/05/2021,Cevahir AVM,7502,2021-05,26-40
I130485,C132418,Male,56,Shoes,2,1200.34,Cash,04/07/2022,Metrocity,2400.68,2022-07,41-60
I202145,C650268,Male,37,Cosmetics,4,162.64,Credit Card,10/02/2022,Mall of Istanbul,650.56,2022-02,26-40
I159095,C712965,Male,18,Clothing,1,300.08,Cash,12/03/2022,Viaport Outlet,300.08,2022-03,18-25
I907971,C288725,Male,62,Clothing,1,300.08,Debit Card,11/12/2021,Metrocity,300.08,2021-12,60+
I266448,C235012,Female,33,Food & Beverage,2,10.46,Cash,08/01/2021,Emaar Square Mall,20.92,2021-01,26-40
I932061,C298046,Female,24,Shoes,4,2400.68,Debit Card,12/06/2021,Metrocity,9602.72,2021-06,18-25
I138110,C290162,Female,50,Food & Beverage,4,20.92,Cash,04/03/2022,Mall of Istanbul,83.68,2022-03,41-60
I158472,C274153,Female,31,Clothing,4,1200.32,Credit Card,03/10/2022,Metrocity,4801.28,2022-10,26-40
I307317,C669267,Male,18,Shoes,2,1200.34,Credit Card,02/09/2021,Istinye Park,2400.68,2021-09,18-25
I119195,C523315,Male,66,Technology,3,3150,Cash,09/11/2022,Kanyon,9450,2022-11,60+
I333697,C202262,Male,69,Clothing,1,300.08,Credit Card,10/10/2021,Mall of Istanbul,300.08,2021-10,60+
I741972,C251265,Female,42,Clothing,1,300.08,Credit Card,10/10/2022,Metrocity,300.08,2022-10,41-60
I228814,C829745,Female,32,Clothing,1,300.08,Cash,12/12/2021,Cevahir AVM,300.08,2021-12,26-40
I125572,C334714,Male,18,Technology,1,1050,Cash,07/07/2021,Forum Istanbul,1050,2021-07,18-25
I570421,C180782,Female,21,Shoes,1,600.17,Credit Card,01/01/2022,Metrocity,600.17,2022-01,18-25
I249003,C123701,Male,53,Toys,1,35.84,Debit Card,12/07/2022,Metropol AVM,35.84,2022-07,41-60
I100837,C827434,Male,65,Clothing,1,300.08,Cash,01/12/2023,Cevahir AVM,300.08,2023-12,60+
I261639,C278657,Male,38,Shoes,5,3000.85,Cash,07/11/2021,Istinye Park,15004.25,2021-11,26-40
I215511,C134733,Male,32,Food & Beverage,1,5.23,Credit Card,03/10/2022,Metropol AVM,5.23,2022-10,26-40
I569878,C284032,Female,20,Clothing,5,1500.4,Credit Card,07/09/2022,Istinye Park,7502,2022-09,18-25
I328466,C309128,Male,55,Clothing,4,1200.32,Cash,07/08/2022,Metrocity,4801.28,2022-08,41-60
I884829,C104804,Male,44,Clothing,2,600.16,Cash,03/03/2021,Istinye Park,1200.32,2021-03,41-60
I651177,C256119,Female,30,Food & Beverage,3,15.69,Cash,02/03/2021,Zorlu Center,47.07,2021-03,26-40
I147551,C259233,Male,54,Clothing,1,300.08,Cash,08/01/2021,Viaport Outlet,300.08,2021-01,41-60
I151477,C126845,Male,29,Clothing,3,900.24,Cash,08/09/2021,Kanyon,2700.72,2021-09,26-40
I298857,C104961,Male,51,Shoes,2,1200.34,Cash,06/06/2021,Emaar Square Mall,2400.68,2021-06,41-60
I147075,C465660,Male,29,Clothing,2,600.16,Credit Card,04/08/2021,Mall of Istanbul,1200.32,2021-08,26-40
I328624,C145780,Male,55,Food & Beverage,2,10.46,Credit Card,03/05/2023,Mall of Istanbul,20.92,2023-05,41-60
I836360,C270041,Female,62,Clothing,4,1200.32,Cash,07/10/2021,Mall of Istanbul,4801.28,2021-10,60+
I109229,C222213,Female,65,Food & Beverage,1,5.23,Cash,04/04/2022,Kanyon,5.23,2022-04,60+
I260459,C228138,Male,69,Food & Beverage,2,10.46,Cash,01/02/2021,Mall of Istanbul,20.92,2021-02,60+
I229099,C163096,Male,27,Cosmetics,1,40.66,Credit Card,01/11/2023,Viaport Outlet,40.66,2023-11,26-40
I161865,C440465,Female,25,Cosmetics,4,162.64,Cash,08/03/2022,Metropol AVM,650.56,2022-03,18-25
I267166,C830872,Female,52,Clothing,3,900.24,Credit Card,04/04/2021,Metrocity,2700.72,2021-04,41-60
I992506,C119920,Female,60,Books,5,75.75,Cash,11/02/2021,Metrocity,378.75,2021-02,41-60
I831438,C192387,Male,28,Clothing,5,1500.4,Credit Card,01/02/2022,Kanyon,7502,2022-02,26-40
I179994,C177825,Male,37,Food & Beverage,5,26.15,Credit Card,03/05/2021,Istinye Park,130.75,2021-05,26-40
I195610,C353310,Female,64,Clothing,1,300.08,Credit Card,09/07/2021,Kanyon,300.08,2021-07,60+
I276300,C941234,Male,20,Food & Beverage,5,26.15,Credit Card,03/11/2022,Zorlu Center,130.75,2022-11,18-25
I778661,C187952,Male,54,Clothing,1,300.08,Cash,12/05/2021,Metrocity,300.08,2021-05,41-60
I292155,C317367,Male,44,Clothing,5,1500.4,Cash,07/01/2022,Mall of Istanbul,7502,2022-01,41-60
I211845,C568664,Female,43,Clothing,1,300.08,Credit Card,06/08/2021,Mall of Istanbul,300.08,2021-08,41-60
I139408,C685467,Female,24,Cosmetics,2,81.32,Cash,09/04/2022,Mall of Istanbul,162.64,2022-04,18-25
I431183,C265810,Male,65,Cosmetics,2,81.32,Debit Card,10/09/2022,Metropol AVM,162.64,2022-09,60+
I155192,C188099,Male,68,Food & Beverage,5,26.15,Credit Card,06/11/2021,Mall of Istanbul,130.75,2021-11,60+
I492262,C135763,Male,46,Food & Beverage,4,20.92,Credit Card,10/11/2021,Metrocity,83.68,2021-11,41-60
I560517,C263536,Female,49,Shoes,2,1200.34,Cash,06/06/2021,Metrocity,2400.68,2021-06,41-60
I541028,C293708,Female,63,Shoes,4,2400.68,Cash,06/12/2021,Istinye Park,9602.72,2021-12,60+
I315896,C253532,Male,62,Clothing,1,300.08,Cash,10/10/2021,Metrocity,300.08,2021-10,60+
I266211,C307297,Male,24,Clothing,2,600.16,Credit Card,09/12/2021,Mall of Istanbul,1200.32,2021-12,18-25
I241303,C855980,Female,25,Food & Beverage,4,20.92,Credit Card,05/12/2022,Zorlu Center,83.68,2022-12,18-25
I283013,C981507,Male,42,Food & Beverage,4,20.92,Cash,03/01/2022,Forum Istanbul,83.68,2022-01,41-60
I251408,C254403,Female,18,Clothing,1,300.08,Debit Card,05/10/2022,Metrocity,300.08,2022-10,18-25
I207792,C161748,Female,35,Technology,1,1050,Credit Card,09/12/2021,Metrocity,1050,2021-12,26-40
I915683,C236065,Female,62,Cosmetics,5,203.3,Credit Card,12/05/2022,Mall of Istanbul,1016.5,2022-05,60+
I310097,C230572,Male,20,Souvenir,3,35.19,Cash,10/12/2021,Metropol AVM,105.57,2021-12,18-25
I120408,C859963,Female,40,Clothing,1,300.08,Credit Card,05/10/2021,Metrocity,300.08,2021-10,26-40
I228498,C204985,Female,39,Toys,4,143.36,Credit Card,12/11/2022,Mall of Istanbul,573.44,2022-11,26-40
I257267,C143991,Female,68,Clothing,5,1500.4,Debit Card,10/12/2021,Mall of Istanbul,7502,2021-12,60+
I873098,C298085,Female,56,Toys,4,143.36,Debit Card,10/11/2021,Mall of Istanbul,573.44,2021-11,41-60
I235118,C104958,Male,61,Books,3,45.45,Cash,09/07/2021,Mall of Istanbul,136.35,2021-07,60+
I296461,C964629,Male,61,Cosmetics,1,40.66,Cash,08/08/2021,Kanyon,40.66,2021-08,60+
I214165,C263251,Female,34,Clothing,1,300.08,Cash,12/10/2021,Kanyon,300.08,2021-10,26-40
I233356,C777185,Male,59,Clothing,4,1200.32,Cash,02/10/2022,Mall of Istanbul,4801.28,2022-10,41-60
I276206,C185177,Female,50,Food & Beverage,1,5.23,Credit Card,08/10/2022,Mall of Istanbul,5.23,2022-10,41-60
I256830,C148427,Female,21,Cosmetics,2,81.32,Credit Card,10/10/2022,Metrocity,162.64,2022-10,18-25
I296724,C231555,Male,38,Clothing,3,900.24,Credit Card,03/03/2022,Metrocity,2700.72,2022-03,26-40
I126670,C271581,Male,40,Clothing,1,300.08,Cash,12/08/2022,Kanyon,300.08,2022-08,26-40
I235481,C332464,Female,54,Food & Beverage,3,15.69,Cash,08/05/2021,Metrocity,47.07,2021-05,41-60
I513401,C326686,Male,26,Food & Beverage,2,10.46,Cash,04/12/2022,Mall of Istanbul,20.92,2022-12,26-40
I683165,C265031,Male,51,Cosmetics,1,40.66,Credit Card,06/04/2022,Istinye Park,40.66,2022-04,41-60
I175272,C260753,Female,40,Cosmetics,1,40.66,Debit Card,02/11/2021,Kanyon,40.66,2021-11,26-40
I899320,C181478,Female,43,Food & Beverage,4,20.92,Cash,03/04/2021,Istinye Park,83.68,2021-04,41-60
I245998,C319815,Male,28,Food & Beverage,4,20.92,Cash,01/03/2023,Viaport Outlet,83.68,2023-03,26-40
I319827,C762856,Male,69,Shoes,4,2400.68,Debit Card,03/04/2021,Istinye Park,9602.72,2021-04,60+
I801414,C143290,Female,41,Clothing,2,600.16,Cash,09/04/2021,Kanyon,1200.32,2021-04,41-60
I265979,C844323,Female,58,Toys,1,35.84,Credit Card,05/07/2021,Metrocity,35.84,2021-07,41-60
I807922,C322391,Male,36,Food & Beverage,1,5.23,Credit Card,12/02/2022,Cevahir AVM,5.23,2022-02,26-40
I233079,C886286,Female,30,Books,2,30.3,Debit Card,12/10/2022,Kanyon,60.6,2022-10,26-40
I493472,C306540,Male,41,Books,2,30.3,Cash,11/01/2022,Mall of Istanbul,60.6,2022-01,41-60
I124096,C119106,Female,61,Clothing,5,1500.4,Cash,01/06/2022,Mall of Istanbul,7502,2022-06,60+
I805312,C253472,Male,25,Clothing,5,1500.4,Credit Card,06/10/2022,Cevahir AVM,7502,2022-10,18-25
I283373,C168247,Male,60,Shoes,4,2400.68,Credit Card,04/09/2021,Cevahir AVM,9602.72,2021-09,41-60
I187782,C273541,Male,37,Souvenir,3,35.19,Debit Card,01/07/2022,Kanyon,105.57,2022-07,26-40
I182036,C312649,Female,21,Clothing,1,300.08,Cash,03/03/2022,Forum Istanbul,300.08,2022-03,18-25
I235510,C279267,Male,52,Clothing,3,900.24,Credit Card,07/05/2022,Metrocity,2700.72,2022-05,41-60
I261968,C227926,Female,22,Food & Beverage,1,5.23,Credit Card,02/08/2022,Kanyon,5.23,2022-08,18-25
I232389,C130963,Female,44,Clothing,2,600.16,Debit Card,03/04/2023,Zorlu Center,1200.32,2023-04,41-60
I301092,C296104,Female,56,Food & Beverage,1,5.23,Credit Card,02/06/2021,Mall of Istanbul,5.23,2021-06,41-60
I222748,C244698,Male,59,Clothing,2,600.16,Credit Card,05/02/2021,Kanyon,1200.32,2021-02,41-60
I266640,C544255,Female,42,Food & Beverage,2,10.46,Debit Card,04/09/2021,Metropol AVM,20.92,2021-09,41-60
I103917,C787113,Male,18,Food & Beverage,2,10.46,Debit Card,04/08/2021,Metrocity,20.92,2021-08,18-25
I612102,C325962,Female,40,Souvenir,1,11.73,Cash,09/03/2022,Kanyon,11.73,2022-03,26-40
I202854,C333023,Female,28,Cosmetics,2,81.32,Credit Card,08/12/2022,Cevahir AVM,162.64,2022-12,26-40
I338210,C944109,Female,40,Clothing,3,900.24,Cash,12/04/2022,Zorlu Center,2700.72,2022-04,26-40
I141761,C203448,Female,64,Toys,5,179.2,Cash,11/01/2021,Zorlu Center,896,2021-01,60+
I184463,C307236,Male,28,Books,5,75.75,Credit Card,06/10/2021,Kanyon,378.75,2021-10,26-40
I255952,C205438,Male,43,Clothing,1,300.08,Cash,09/09/2022,Istinye Park,300.08,2022-09,41-60
I229419,C760137,Male,59,Food & Beverage,3,15.69,Credit Card,02/10/2022,Metrocity,47.07,2022-10,41-60
I117529,C908127,Female,60,Shoes,4,2400.68,Credit Card,09/08/2021,Istinye Park,9602.72,2021-08,41-60
I714753,C133574,Female,59,Shoes,5,3000.85,Cash,05/09/2022,Metropol AVM,15004.25,2022-09,41-60
I167642,C169295,Female,21,Toys,4,143.36,Cash,05/07/2022,Mall of Istanbul,573.44,2022-07,18-25
I610469,C139828,Female,42,Clothing,2,600.16,Cash,04/12/2021,Kanyon,1200.32,2021-12,41-60
I328623,C327607,Female,60,Clothing,4,1200.32,Debit Card,12/12/2021,Kanyon,4801.28,2021-12,41-60
I314064,C294112,Male,54,Shoes,4,2400.68,Cash,10/10/2022,Mall of Istanbul,9602.72,2022-10,41-60
I579325,C209884,Female,61,Clothing,1,300.08,Cash,03/02/2023,Mall of Istanbul,300.08,2023-02,60+
I148207,C815614,Female,44,Food & Beverage,3,15.69,Cash,07/07/2022,Mall of Istanbul,47.07,2022-07,41-60
I126080,C201283,Female,51,Books,2,30.3,Cash,10/08/2022,Forum Istanbul,60.6,2022-08,41-60
I138828,C117575,Female,57,Toys,2,71.68,Debit Card,01/10/2021,Mall of Istanbul,143.36,2021-10,41-60
I185137,C124464,Male,59,Clothing,5,1500.4,Credit Card,11/07/2021,Cevahir AVM,7502,2021-07,41-60
I200702,C147420,Female,40,Food & Beverage,4,20.92,Cash,10/06/2021,Metrocity,83.68,2021-06,26-40
I284096,C628328,Female,38,Toys,4,143.36,Credit Card,03/10/2021,Kanyon,573.44,2021-10,26-40
I333606,C647899,Female,31,Clothing,3,900.24,Cash,03/08/2022,Metropol AVM,2700.72,2022-08,26-40
I234774,C271415,Female,21,Clothing,1,300.08,Debit Card,05/06/2022,Emaar Square Mall,300.08,2022-06,18-25
